exercise_id,title,exercise_type,body_part,equipment,difficulty_level
1,Partner plank band row,Strength,Abdominals,Bands,Intermediate
2,Banded crunch isometric hold,Strength,Abdominals,Bands,Intermediate
3,FYR Banded Plank Jack,Strength,Abdominals,Bands,Intermediate
4,Banded crunch,Strength,Abdominals,Bands,Intermediate
5,Crunch,Strength,Abdominals,Bands,Intermediate
6,Decline band press sit-up,Strength,Abdominals,Bands,Intermediate
7,FYR2 Banded Frog Pump,Strength,Abdominals,Bands,Intermediate
8,Band low-to-high twist,Strength,Abdominals,Bands,Intermediate
9,Barbell roll-out,Strength,Abdominals,Barbell,Intermediate
10,Barbell Ab Rollout - On Knees,Strength,Abdominals,Barbell,Intermediate
11,Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate
12,Bench barbell roll-out,Strength,Abdominals,Barbell,Beginner
13,Barbell Side Bend,Strength,Abdominals,Barbell,Beginner
14,Seated bar twist,Strength,Abdominals,Barbell,Intermediate
15,Single-arm landmine pull and press,Strength,Abdominals,Barbell,Intermediate
16,Barbell Ab Roll Out - Gethin Variation,Strength,Abdominals,Barbell,Intermediate
17,30 Barbell Floor Wiper,Strength,Abdominals,Barbell,Intermediate
18,30 Barbell Roll-Out,Strength,Abdominals,Barbell,Intermediate
19,Decline plate sit-up,Strength,Abdominals,Barbell,Intermediate
20,KV Barbell Hip Thrust,Strength,Abdominals,Barbell,Intermediate
21,Advanced Kettlebell Windmill,Strength,Abdominals,Kettlebells,Beginner
22,Kettlebell Windmill,Strength,Abdominals,Kettlebells,Intermediate
23,Kettlebell Pass Between The Legs,Strength,Abdominals,Kettlebells,Beginner
24,Kettlebell 3-point leg extension,Strength,Abdominals,Kettlebells,Intermediate
25,Double Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate
26,Burpee over kettlebell,Strength,Abdominals,Kettlebells,Intermediate
27,Kettlebell toe-touch,Strength,Abdominals,Kettlebells,Intermediate
28,Kettlebell swing,Strength,Abdominals,Kettlebells,Intermediate
29,Two-way swing,Strength,Abdominals,Kettlebells,Intermediate
30,Kettlebell crab reach,Strength,Abdominals,Kettlebells,Intermediate
31,Taylor Single-Arm Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate
32,Holman Kettlebell Up to Elbow Down,Strength,Abdominals,Kettlebells,Intermediate
33,FYR2 Double-Kettlebell Ski,Strength,Abdominals,Kettlebells,Intermediate
34,FYR2 Kettlebell Hike,Strength,Abdominals,Kettlebells,Intermediate
35,FYR2 Kettlebell Cross-Body Catch,Strength,Abdominals,Kettlebells,Intermediate
36,FYR2 Kettlebell Duck Walk,Strength,Abdominals,Kettlebells,Intermediate
37,FYR2 Kettlebell Get-Up Reach,Strength,Abdominals,Kettlebells,Intermediate
38,FYR2 Kettlebell Juggle,Strength,Abdominals,Kettlebells,Intermediate
39,FYR2 Squat-Clean-Alternating-Press Complex,Strength,Abdominals,Kettlebells,Intermediate
40,Dumbbell V-Sit Cross Jab,Strength,Abdominals,Dumbbell,Intermediate
41,Dumbbell spell caster,Strength,Abdominals,Dumbbell,Beginner
42,Dumbbell side bend,Strength,Abdominals,Dumbbell,Intermediate
43,Dumbbell crunch,Strength,Abdominals,Dumbbell,Intermediate
44,Dumbbell Fix Dumbbell Sprawl,Strength,Abdominals,Dumbbell,Intermediate
45,Dumbbell Fix Alternating Renegade Row,Strength,Abdominals,Dumbbell,Intermediate
46,Dumbbell Fix Dumbbell Mountain Climber,Strength,Abdominals,Dumbbell,Intermediate
47,Dumbbell Fix Dumbbell Russian Twist,Strength,Abdominals,Dumbbell,Intermediate
48,Dumbbell Fix Dumbbell Pull-Over,Strength,Abdominals,Dumbbell,Intermediate
49,Dumbbell Fix Dumbbell Sit-Up,Strength,Abdominals,Dumbbell,Intermediate
50,Dumbbell Fix Dumbbell Front Squat,Strength,Abdominals,Dumbbell,Intermediate
51,Dumbbell Fix Full Man Maker,Strength,Abdominals,Dumbbell,Intermediate
52,Dumbbell T-hold,Strength,Abdominals,Dumbbell,Intermediate
53,Dumbbell hollow-body floor press,Strength,Abdominals,Dumbbell,Intermediate
54,Dumbbell crusher,Strength,Abdominals,Dumbbell,Intermediate
55,Dumbbell Crunch - Gethin Variation,Strength,Abdominals,Dumbbell,Intermediate
56,Single-arm dumbbell crunch,Strength,Abdominals,Dumbbell,Intermediate
57,HM Alternating Dumbbell Plank Row,Strength,Abdominals,Dumbbell,Intermediate
58,Dumbbell straight-legged hip raise,Strength,Abdominals,Dumbbell,Intermediate
59,Seated leg tuck with dumbbell,Strength,Abdominals,Dumbbell,Intermediate
60,Dumbbell V-sit cross jab-,Strength,Abdominals,Dumbbell,Intermediate
61,30 Hanging Leg Raise With Dumbbell,Strength,Abdominals,Dumbbell,Intermediate
62,Dumbbell Get-Up Sit-Up,Strength,Abdominals,Dumbbell,Expert
63,Holman Right Side Plank with Left Triceps Press,Strength,Abdominals,Dumbbell,Intermediate
64,Holman Left Side Plank with Right Triceps Press,Strength,Abdominals,Dumbbell,Intermediate
65,Holman Boat with Feet Push-Out and Overhead Press,Strength,Abdominals,Dumbbell,Intermediate
66,Holman Hovering Plank Row,Strength,Abdominals,Dumbbell,Intermediate
67,Holman Weighted Seated Killer Abs to Russian Twist,Strength,Abdominals,Dumbbell,Intermediate
68,Holman Straight Plank Dumbbell Reach-Under,Strength,Abdominals,Dumbbell,Intermediate
69,Holman Straight-Arm Side Plank Overhead Press to Chest Press,Strength,Abdominals,Dumbbell,Intermediate
70,Holman Weighted Burpee to Pike,Strength,Abdominals,Dumbbell,Intermediate
71,Holman Straight-Legged Boat Chest Press,Strength,Abdominals,Dumbbell,Intermediate
72,Holman Weighted Burpee to Side Delt Raise,Strength,Abdominals,Dumbbell,Intermediate
73,Holman Heavy Double Pike,Strength,Abdominals,Dumbbell,Intermediate
74,Holman Heavy Double Split Pike,Strength,Abdominals,Dumbbell,Intermediate
